Lead,Origem,Valor,Produto,Data,Tipo de Receita
Hortec,Base de clientes,"R$ 6.300,00",Contabilidade Consultiva,8 de agosto de 2024,Recorrente
Madic Usinagem*,Outbound,"R$ 11.000,00",Estudo Tributário,14 de agosto de 2024,Pagamento único
Newtiger (Grupo Borabella),Base de clientes,"R$ 900,00",Abertura de empresa LR e LP,21 de agosto de 2024,Pagamento único
Newtiger (Grupo Borabella),Base de clientes,"R$ 2.350,00",Contabilidade Mensal,21 de agosto de 2024,Recorrente
Innovashop e Revitale,Indicação,"R$ 50.000,00",Estudo Tributário,21 de agosto de 2024,Pagamento único
F Salim,Base de clientes,"R$ 12.000,00",Consultoria Especializada,29 de agosto de 2024,Pagamento único
