Lead,Origem,Valor,Produto,Estado,Cidade,Segmento,Tipo de Receita,Data
Hortec,Base de clientes,"R$ 6.300,00",Contabilidade Consultiva,,,,Recorrente,8 de agosto de 2024
Madic Usinagem*,Outbound,"R$ 11.000,00",Estudo Tributário,São Paulo,Vinhedo,Indústrias,Pagamento único,14 de agosto de 2024
Newtiger (Grupo Borabella),Base de clientes,"R$ 2.350,00",Contabilidade Mensal,São Paulo,Cândido Mota,Indústrias,Recorrente,21 de agosto de 2024
Innovashop e Revitale,Indicação,"R$ 50.000,00",Estudo Tributário,Espírito Santo,Cariacica,Comércio,Pagamento único,21 de agosto de 2024
Newtiger (Grupo Borabella),Base de clientes,"R$ 900,00",Abertura de empresa LR e LP,São Paulo,Cândido Mota,Indústrias,Pagamento único,21 de agosto de 2024
F Salim,Base de clientes,"R$ 12.000,00",Consultoria Especializada,São Paulo,Ribeirão Preto,Comércio,Pagamento único,29 de agosto de 2024
